City,Population
Kyiv,2868702
Kharkiv,1451132
Odessa,1017022
Dnipro,993094
Donetsk,949825
Zaporizhia,766268
Lviv,729038
Kryvyi Rih,652137
Mykolaiv,494922
Mariupol,458533
Luhansk,424113
Vinnytsia,372116
Makiivka,351820
Sevastopol,344853
Simferopol,338319
Kherson,297593
Poltava,295950
Chernihiv,295670
Cherkasy,285170
Zhytomyr,270922
Sumy,268874
Khmelnytskyi,266095
Chernivtsi,262129
Horlivka,254416
Rivne,249912
Kamianske,241475
Kropyvnytskyi,233333
Ivano-Frankivsk,227030
Kremenchuk,225828
Ternopil,217110
Lutsk,216076
Bila Tserkva,211205
Kramatorsk,162811
Melitopol,156889
Kerch,144626
Nikopol,117857
Sloviansk,116694
Uzhhorod,115947
Berdiansk,115500
Alchevsk,110474
Pavlohrad,109739
Sieverodonetsk,108899
Yevpatoria,107040
Lysychansk,103459
Kamianets-Podilskyi,102254
